Time, Bytes
200600 ms, 1000000
200700 ms, 1000000
222 s, 2000000
222100 ms, 2000000
228400 ms, 3000000
228500 ms, 3000000
234800 ms, 4000000
234900 ms, 4000000
235200 ms, 4000024
235800 ms, 4000024
241200 ms, 4000048
241400 ms, 4000048
243900 ms, 4000072
244100 ms, 4000072
246600 ms, 4000096
246800 ms, 4000096
249200 ms, 4000120
249400 ms, 4000120
256200 ms, 5000480
274200 ms, 5000000
277100 ms, 5000024
277400 ms, 5000024
280300 ms, 5000048
280600 ms, 5000048
284700 ms, 5000072
285300 ms, 5000072
287700 ms, 5000096
288300 ms, 5000096
302100 ms, 5000120
302400 ms, 5000120
304100 ms, 5000144
304400 ms, 5000144
309400 ms, 5000168
309800 ms, 5000168
326200 ms, 5000192
326800 ms, 5000192
340700 ms, 5000216
341700 ms, 5000240
342800 ms, 5000240
350700 ms, 5000264
353500 ms, 5000288
353800 ms, 5000288
356700 ms, 5000312
371800 ms, 5000312
374700 ms, 5000336
375 s, 5000336
377900 ms, 5000360
378200 ms, 5000360
380700 ms, 5000384
390700 ms, 5000384
405700 ms, 5000408
406300 ms, 5000408
408700 ms, 5000432
409300 ms, 5000432
432900 ms, 5000456
433200 ms, 5000456
436100 ms, 5000480
436100 ms, 5000480
436400 ms, 5000000
439300 ms, 5000024
